Mob,Miniatura,Mapa,Race,Element,Size,Class,Horarios
Ancestral Warden,https://static.divine-pride.net/images/mobs/png/20277.png,um_dun02,DemiHuman,Fire,Large,Mini-Boss,"00:30,02:20,04:40,06:20,08:20,10:20,12:20,14:30,16:50,18:40,20:20,22:20"
Angeling,https://static.divine-pride.net/images/mobs/png/1096.png,prt_fild03,Angel,Holy,Medium,Mini-Boss,"00:50,02:50,04:30,06:30,08:30,10:50,13:10,14:50,16:50,18:30,20:50,22:30"
Anubis,https://static.divine-pride.net/images/mobs/png/1098.png,in_sphinx4,DemiHuman,Corrupt,Large,Mini-Boss,"00:10,02:00,04:20,06:00,08:00,10:10,12:10,14:00,16:10,18:00,20:10,22:10"
Araccryo,https://static.divine-pride.net/images/mobs/png/2092.png,ice_dun02,Insect,Water,Large,Mini-Boss,"01:40,03:40,05:50,07:40,09:50,11:40,13:30,15:20,17:20,19:20,21:40,23:30,"
Arc Angeling,https://static.divine-pride.net/images/mobs/png/1388.png,odin_tem02,Angel,Holy,Medium,Mini-Boss,"00:50,02:40,05:00,07:10,08:50,11:10,13:10,15:50,17:00,19:00,21:00,23:10"
Baihu,https://static.divine-pride.net/images/mobs/png/20346.png,lou_dun01,DemiHuman,Wind,Medium,Mini-Boss,"00:30,02:40,04:40,06:20,08:20,10:10,12:20,14:10,16:20,18:20,20:30,22:40"
Blasphemous Ritual,https://static.divine-pride.net/images/mobs/png/1957.png,gl_step,Plant,Corrupt,Medium,Mini-Boss,"01:00,03:10,05:10,07:00,09:10,11:10,13:00,14:40,17:00,19:10,21:00,23:20"
Blightwalker,https://static.divine-pride.net/images/mobs/png/20420.png,gl_cas02,Demon,Corrupt,Medium,Mini-Boss,"00:30,02:10,04:30,06:50,08:40,10:50,12:30,14:30,16:40,18:40,20:40,22:20"
Brain Sucker,https://static.divine-pride.net/images/mobs/png/20889.png,tur_dun03,Insect,Shadow,Medium,Mini-Boss,"01:20,03:40,05:40,07:30,09:10,11:10,13:00,15:20,17:00,19:00,21:20,23:20"
Bramblehare,https://static.divine-pride.net/images/mobs/png/2336.png,tur_dun01,Brute,Earth,Small,Mini-Boss,"01:10,03:00,04:50,06:50,09:00,11:20,13:20,15:30,17:10,19:20,21:10,23:00"
Byrogue,https://static.divine-pride.net/images/mobs/png/1839.png,thor_v02,DemiHuman,Neutral,Medium,Mini-Boss,"01:30,03:50,05:30,07:20,09:20,11:40,13:40,15:20,17:20,19:40,21:30,23:40"
Chepet,https://static.divine-pride.net/images/mobs/png/1250.png,xmas_dun02,DemiHuman,Fire,Medium,Mini-Boss,"00:20,02:20,04:00,06:10,08:30,10:20,12:40,14:20,16:10,18:00,20:10,22:00"
Chimera,https://static.divine-pride.net/images/mobs/png/1283.png,gl_dun02,Brute,Fire,Large,Mini-Boss,"00:10,02:30,04:20,06:10,08:00,10:00,12:00,14:20,16:30,18:30,20:20,23:30"
Deviling,https://static.divine-pride.net/images/mobs/png/1582.png,gef_dun01,Demon,Shadow,Medium,Mini-Boss,"01:50,03:50,05:30,07:50,09:40,11:30,13:50,15:50,17:40,19:50,21:50,23:50"
Dragon Fly,https://static.divine-pride.net/images/mobs/png/1091.png,moc_field13,Insect,Wind,Small,Mini-Boss,"00:30,02:50,04:50,06:40,08:20,10:40,12:50,14:50,16:30,18:50,20:30,22:40"
Drake,https://static.divine-pride.net/images/mobs/png/1112.png,treasure02,Undead,Corrupt,Medium,MVP,"01:00,06:00,08:00,14:00,19:00,21:00"
Eclipse,https://static.divine-pride.net/images/mobs/png/1093.png,prt_fild01,Brute,Neutral,Medium,Mini-Boss,"01:00,02:40,04:50,07:00,09:10,11:00,12:50,15:10,17:20,19:00,20:40,23:00"
Eddga,https://static.divine-pride.net/images/mobs/png/1115.png,pay_fild12,Brute,Fire,Large,MVP,"00:00,05:00,10:00,14:00,18:00,22:00"
Enraged Priest,https://static.divine-pride.net/images/mobs/png/3514.png,ra_san04,DemiHuman,Neutral,Medium,Mini-Boss,"01:10,03:20,05:20,07:30,09:30,11:10,13:20,15:00,17:20,19:10,20:50,23:10"
